posx RSUExampleScenario.node[0].veinsmobility (WithoutChannelSwitching-0-20180122-12:35:47-43032),,posy RSUExampleScenario.node[0].veinsmobility (WithoutChannelSwitching-0-20180122-12:35:47-43032),,,x,y
459,1526.65,459,517.1435126,,1501.65,507.8564874
460,1526.65,460,511.9146432,,1501.65,513.0853568
461,1526.65,461,506.1328479,,1501.65,518.8671521
462,1526.65,462,499.6937368,,1501.65,525.3062632
463,1526.65,463,492.6418836,,1501.65,532.3581164
464,1526.65,464,484.9591255,,1501.65,540.0408745
465,1526.65,465,476.7109859,,1501.65,548.2890141
466,1526.65,466,467.8616937,,1501.65,557.1383063
467,1526.65,467,458.3609798,,1501.65,566.6390202
468,1526.65,468,448.2140981,,1501.65,576.7859019
469,1526.65,469,437.5116576,,1501.65,587.4883424
470,1526.65,470,426.2284357,,1501.65,598.7715643
471,1526.65,471,414.3453731,,1501.65,610.6546269
472,1526.65,472,401.8023822,,1501.65,623.1976178
473,1526.65,473,388.6584873,,1501.65,636.3415127
474,1526.65,474,374.9682715,,1501.65,650.0317285
475,1526.65,475,361.2151204,,1501.65,663.7848796
476,1526.65,476,349.0078258,,1501.65,675.9921742
477,1526.65,477,338.7449757,,1501.65,686.2550243
478,1529.95,478,329.0353568,,1504.95,695.9646432
479,1529.95,479,318.7282578,,1504.95,706.2717422
480,1529.95,480,307.815367,,1504.95,717.184633
481,1529.95,481,296.2954648,,1504.95,728.7045352
482,1529.95,482,284.1322073,,1504.95,740.8677927
483,1529.95,483,271.3689087,,1504.95,753.6310913
484,1529.95,484,258.018744,,1504.95,766.981256
485,1529.95,485,244.1977848,,1504.95,780.8022152
486,1529.95,486,230.3262751,,1504.95,794.6737249
487,1533.25,487,216.488112,,1508.25,808.511888
488,1533.25,488,202.7376634,,1508.25,822.2623366
489,1533.25,489,188.95722,,1508.25,836.04278
490,1533.25,490,175.152305,,1508.25,849.847695
491,1533.25,491,161.3369241,,1508.25,863.6630759
492,1533.25,492,147.5047925,,1508.25,877.4952075
493,1533.25,493,133.6688654,,1508.25,891.3311346
494,1533.25,494,119.8232656,,1508.25,905.1767344
495,1533.25,495,105.9710762,,1508.25,919.0289238
496,1533.25,496,92.11500622,,1508.25,932.8849938
497,1533.25,497,78.25897802,,1508.25,946.741022
498,1533.25,498,64.70612828,,1508.25,960.2938717
499,1533.25,499,53.97543512,,1508.25,971.0245649
500,1533.25,500,46.34557478,,1508.25,978.6544252
501,1533.25,501,41.42014872,,1508.25,983.5798513
502,1533.25,502,37.6775292,,1508.25,987.3224708
503,1534.583008,503,33.68589112,,1509.583008,991.3141089
504,1539.625196,504,33.25,,1514.625196,991.75
505,1545.321606,505,33.25,,1520.321606,991.75
506,1551.609239,506,33.25,,1526.609239,991.75
507,1558.523554,507,33.25,,1533.523554,991.75
